fragments,tree_species,reps,arbuscules,vesicles,hyphae,entry_points,coils,col_intensity
Chawia,Macaranga_conglomerata,1,0,0,100,38.89,0,88.88
Chawia,Macaranga_conglomerata,2,0,0,100,38.89,0,88.88
Chawia,Macaranga_conglomerata,3,0,37.5,100,70.83,0,93.75
Chawia,Xymalos_monospora,1,0,4.35,30.43,8.69,0,17.39
Chawia,Xymalos_monospora,2,10,3.33,80,26.67,0,63.33
Chawia,Xymalos_monospora,3,7.41,40.74,59.26,7.41,3.7,63.33
Chawia,Syzigium_guineense,1,0,3.33,50,29.17,0,54.16
Chawia,Syzigium_guineense,2,0,30,90,0,0,75
Chawia,Syzigium_guineense,3,0,6.67,50,3.33,0,35
Chawia,Oxyanthus_speciosis,1,0,0,58.33,8.33,0,41.67
Chawia,Oxyanthus_speciosis,2,26.67,13.33,80,0,3.33,70
Chawia,Oxyanthus_speciosis,3,43.33,0,56.67,13.33,10,76.67
Chawia,Phoenix_reclinata,1,0,0,22.73,4.55,0,13.64
Chawia,Phoenix_reclinata,2,0,0,13.79,79.31,6.896,56.896
Chawia,Phoenix_reclinata,3,0,0,59.09,18.18,0,68.18
Chawia,Leptonychia_usambarensis,1,0,0,59.09,18.18,0,68.18
Chawia,Leptonychia_usambarensis,2,0,20,80,43.33,0,76.67
Chawia,Leptonychia_usambarensis,3,0,13.79,53.33,27.76,0,50
Chawia,Tabernaemontana_stapfiana,1,0,0,44.83,0,0,22.413
Chawia,Tabernaemontana_stapfiana,2,26.67,6.67,93.33,70,0,76.66
Chawia,Tabernaemontana_stapfiana,3,0,11.11,66.66,66.66,0,66.66
Chawia,Pleiocarpa_pycnantha,1,0,3.33,43.33,13.33,0,38.33
Chawia,Pleiocarpa_pycnantha,2,33.33,13.33,56.66,6.67,0,43.33
Chawia,Pleiocarpa_pycnantha,3,0,0,70,23.33,0,60
