fragments,tree_species,reps,arbuscules,vesicles,hyphae,entry_points,coils,col_intensity
Fururu,Macaranga_conglomerata,1,0,0,66.67,66.67,0,66.67
Fururu,Macaranga_conglomerata,2,0,0,100,100,0,100
Fururu,Macaranga_conglomerata,3,0,3.7,66.67,40.74,0,62.96
Fururu,Xymalos_monospora,1,0,0,56.52,26.08,0,60.87
Fururu,Xymalos_monospora,2,6.67,16.67,66.67,50,0,70
Fururu,Xymalos_monospora,3,22.72,4.55,86.36,86.36,4.55,96.67
Fururu,Syzigium_guineense,1,0,41.67,58.33,41.67,0,70.83
Fururu,Syzigium_guineense,2,0,16.67,90,66.67,6.67,66.67
Fururu,Syzigium_guineense,3,0,0,56.67,16.66,0,38.33
Fururu,Oxyanthus_speciosis,1,0,0,58.33,41.67,0,72.92
Fururu,Oxyanthus_speciosis,2,26.67,10,83.33,76.67,3.33,88.33
Fururu,Oxyanthus_speciosis,3,54.16,33.33,95.83,25,0,90
Fururu,Phoenix_reclinata,1,0,0,50,33.33,0,58.33
Fururu,Phoenix_reclinata,2,0,0,62.5,25,0,62.5
Fururu,Phoenix_reclinata,3,0,0,50,0,0,26.66
Fururu,Leptonychia_usambarensis,1,3.33,10,90,86.67,0,95
Fururu,Leptonychia_usambarensis,2,0,0,83.33,23.33,0,65
Fururu,Leptonychia_usambarensis,3,0,0,83.33,23.33,0,65
Fururu,Tabernaemontana_stapfiana,1,0,0,62.5,25,0,62.5
Fururu,Tabernaemontana_stapfiana,2,0,0,50,0,0,26.66
Fururu,Tabernaemontana_stapfiana,3,0,11.11,66.66,66.66,0,66.66
Fururu,Pleiocarpa_pycnantha,1,0,7.69,76.92,15.38,0,53.33
Fururu,Pleiocarpa_pycnantha,2,26.67,60,90,20,16.67,70
Fururu,Pleiocarpa_pycnantha,3,0,13.33,33.33,6.66,0,23.33
