fragments,tree_species,reps,arbuscules,vesicles,hyphae,entry_points,coils,col_intensity
Ngangao,Macaranga_conglomerata,1,10.71,35.71,73.33,57.14,0,82.75
Ngangao,Macaranga_conglomerata,2,0,3.33,40,16.67,0,30
Ngangao,Macaranga_conglomerata,3,0,0,66.67,66.67,0,66.67
Ngangao,Xymalos_monospora,1,4.76,0,33.33,14.29,0,33.33
Ngangao,Xymalos_monospora,2,4.76,0,33.33,14.29,0,33.33
Ngangao,Xymalos_monospora,3,7.41,40.74,59.26,7.41,3.7,63.33
Ngangao,Syzigium_guineense,1,0,10,41.67,29.17,0,37.5
Ngangao,Syzigium_guineense,2,0,3.57,75,46.43,0,76.67
Ngangao,Syzigium_guineense,3,0,3.33,80,16.67,0,56.67
Ngangao,Oxyanthus_speciosis,1,0,3.45,65.52,37.93,0,70
Ngangao,Oxyanthus_speciosis,2,11.11,0,51.85,3.703,0,37.037
Ngangao,Oxyanthus_speciosis,3,43.33,0,56.67,13.33,10,76.67
Ngangao,Phoenix_reclinata,1,0,0,63.63,18.18,0,50
Ngangao,Phoenix_reclinata,2,0,0,58.33,41.67,0,58.33
Ngangao,Phoenix_reclinata,3,0,0,80,20,0,80
Ngangao,Leptonychia_usambarensis,1,0,7.69,84.62,38.46,0,92.31
Ngangao,Leptonychia_usambarensis,2,0,17.86,82.14,67.85,3.57,56.67
Ngangao,Leptonychia_usambarensis,3,0,0,13.79,79.31,6.896,56.896
Ngangao,Tabernaemontana_stapfiana,1,0,6.66,33.33,26.67,0,46.66
Ngangao,Tabernaemontana_stapfiana,2,0,20,90,90,0,65
Ngangao,Tabernaemontana_stapfiana,3,0,0,88.89,22.22,0,44.44
Ngangao,Pleiocarpa_pycnantha,1,5.56,0,33.33,5.56,0,33.33
Ngangao,Pleiocarpa_pycnantha,2,0,0,53.33,16.67,0,43.33
Ngangao,Pleiocarpa_pycnantha,3,19.23,38.46,92.31,19.23,0,70
