fragments,tree_species,reps,arbuscules,vesicles,hyphae,entry_points,coils,col_intensity
Ngangao,Macaranga_conglomerata,1,10.71,35.71,73.33,57.14,0,82.75
Ngangao,Macaranga_conglomerata,2,0,3.33,40,16.67,0,30
Ngangao,Macaranga_conglomerata,3,0,0,66.67,66.67,0,66.67
Ngangao,Xymalos_monospora,1,4.76,0,33.33,14.29,0,33.33
Ngangao,Xymalos_monospora,2,4.76,0,33.33,14.29,0,33.33
Ngangao,Xymalos_monospora,3,7.41,40.74,59.26,7.41,3.7,63.33
Ngangao,Syzigium_guineense,1,0,10,41.67,29.17,0,37.5
Ngangao,Syzigium_guineense,2,0,3.57,75,46.43,0,76.67
Ngangao,Syzigium_guineense,3,0,3.33,80,16.67,0,56.67
Ngangao,Oxyanthus_speciosis,1,0,3.45,65.52,37.93,0,70
Ngangao,Oxyanthus_speciosis,2,11.11,0,51.85,3.703,0,37.037
Ngangao,Oxyanthus_speciosis,3,43.33,0,56.67,13.33,10,76.67
Ngangao,Phoenix_reclinata,1,0,0,63.63,18.18,0,50
Ngangao,Phoenix_reclinata,2,0,0,58.33,41.67,0,58.33
Ngangao,Phoenix_reclinata,3,0,0,80,20,0,80
Ngangao,Leptonychia_usambarensis,1,0,7.69,84.62,38.46,0,92.31
Ngangao,Leptonychia_usambarensis,2,0,17.86,82.14,67.85,3.57,56.67
Ngangao,Leptonychia_usambarensis,3,0,0,13.79,79.31,6.896,56.896
Ngangao,Tabernaemontana_stapfiana,1,0,6.66,33.33,26.67,0,46.66
Ngangao,Tabernaemontana_stapfiana,2,0,20,90,90,0,65
Ngangao,Tabernaemontana_stapfiana,3,0,0,88.89,22.22,0,44.44
Ngangao,Pleiocarpa_pycnantha,1,5.56,0,33.33,5.56,0,33.33
Ngangao,Pleiocarpa_pycnantha,2,0,0,53.33,16.67,0,43.33
Ngangao,Pleiocarpa_pycnantha,3,19.23,38.46,92.31,19.23,0,70
Chawia,Macaranga_conglomerata,1,0,0,100,38.89,0,88.88
Chawia,Macaranga_conglomerata,2,0,0,100,38.89,0,88.88
Chawia,Macaranga_conglomerata,3,0,37.5,100,70.83,0,93.75
Chawia,Xymalos_monospora,1,0,4.35,30.43,8.69,0,17.39
Chawia,Xymalos_monospora,2,10,3.33,80,26.67,0,63.33
Chawia,Xymalos_monospora,3,7.41,40.74,59.26,7.41,3.7,63.33
Chawia,Syzigium_guineense,1,0,3.33,50,29.17,0,54.16
Chawia,Syzigium_guineense,2,0,30,90,0,0,75
Chawia,Syzigium_guineense,3,0,6.67,50,3.33,0,35
Chawia,Oxyanthus_speciosis,1,0,0,58.33,8.33,0,41.67
Chawia,Oxyanthus_speciosis,2,26.67,13.33,80,0,3.33,70
Chawia,Oxyanthus_speciosis,3,43.33,0,56.67,13.33,10,76.67
Chawia,Phoenix_reclinata,1,0,0,22.73,4.55,0,13.64
Chawia,Phoenix_reclinata,2,0,0,13.79,79.31,6.896,56.896
Chawia,Phoenix_reclinata,3,0,0,59.09,18.18,0,68.18
Chawia,Leptonychia_usambarensis,1,0,0,59.09,18.18,0,68.18
Chawia,Leptonychia_usambarensis,2,0,20,80,43.33,0,76.67
Chawia,Leptonychia_usambarensis,3,0,13.79,53.33,27.76,0,50
Chawia,Tabernaemontana_stapfiana,1,0,0,44.83,0,0,22.413
Chawia,Tabernaemontana_stapfiana,2,26.67,6.67,93.33,70,0,76.66
Chawia,Tabernaemontana_stapfiana,3,0,11.11,66.66,66.66,0,66.66
Chawia,Pleiocarpa_pycnantha,1,0,3.33,43.33,13.33,0,38.33
Chawia,Pleiocarpa_pycnantha,2,33.33,13.33,56.66,6.67,0,43.33
Chawia,Pleiocarpa_pycnantha,3,0,0,70,23.33,0,60
Fururu,Macaranga_conglomerata,1,0,0,66.67,66.67,0,66.67
Fururu,Macaranga_conglomerata,2,0,0,100,100,0,100
Fururu,Macaranga_conglomerata,3,0,3.7,66.67,40.74,0,62.96
Fururu,Xymalos_monospora,1,0,0,56.52,26.08,0,60.87
Fururu,Xymalos_monospora,2,6.67,16.67,66.67,50,0,70
Fururu,Xymalos_monospora,3,22.72,4.55,86.36,86.36,4.55,96.67
Fururu,Syzigium_guineense,1,0,41.67,58.33,41.67,0,70.83
Fururu,Syzigium_guineense,2,0,16.67,90,66.67,6.67,66.67
Fururu,Syzigium_guineense,3,0,0,56.67,16.66,0,38.33
Fururu,Oxyanthus_speciosis,1,0,0,58.33,41.67,0,72.92
Fururu,Oxyanthus_speciosis,2,26.67,10,83.33,76.67,3.33,88.33
Fururu,Oxyanthus_speciosis,3,54.16,33.33,95.83,25,0,90
Fururu,Phoenix_reclinata,1,0,0,50,33.33,0,58.33
Fururu,Phoenix_reclinata,2,0,0,62.5,25,0,62.5
Fururu,Phoenix_reclinata,3,0,0,50,0,0,26.66
Fururu,Leptonychia_usambarensis,1,3.33,10,90,86.67,0,95
Fururu,Leptonychia_usambarensis,2,0,0,83.33,23.33,0,65
Fururu,Leptonychia_usambarensis,3,0,0,83.33,23.33,0,65
Fururu,Tabernaemontana_stapfiana,1,0,0,62.5,25,0,62.5
Fururu,Tabernaemontana_stapfiana,2,0,0,50,0,0,26.66
Fururu,Tabernaemontana_stapfiana,3,0,11.11,66.66,66.66,0,66.66
Fururu,Pleiocarpa_pycnantha,1,0,7.69,76.92,15.38,0,53.33
Fururu,Pleiocarpa_pycnantha,2,26.67,60,90,20,16.67,70
Fururu,Pleiocarpa_pycnantha,3,0,13.33,33.33,6.66,0,23.33
